ciudad,articulo,codigo_articulo,subclase_ipc,method,ipc_last_date,issue
BOGOTÁ D.C.,ACEITE DE GIRASOL,1730102,011501,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,ACEITE DE SOYA O DE MAÍZ,1730101,011501,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,AGUACATE,1410503,011609,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,AJO,1310505,011716,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,ARRACACHA,1210303,011712,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,ARROZ INTEGRAL,1110103,011101,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,ARROZ PARA SECO,1110101,011101,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,ARROZ PARA SOPA,1110102,011101,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,ARVEJA FRESCA,1320201,011716,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,ARVEJA SECA,1320202,011716,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,ARVEJA TARRO,1320402,011703,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,AVENA HOJUELAS,1110501,011103,producto,2025-06-01,NA
BOGOTÁ D.C.,AVENA MOLIDA,1110502,011103,producto,2025-06-01,NA
BOGOTÁ D.C.,AZÚCAR NATURAL O MORENA,1810202,011801,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,AZÚCAR REFINADA,1810201,011801,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,BANANOS,1410201,011606,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,CARNE DE CERDO CON HUESO,1510202,011202,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,CARNE DE CERDO SIN HUESO,1510201,011202,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,CARNE DE RES CON HUESO,1510102,011201,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,CARNE DE RES SIN HUESO,1510101,011201,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,CEBOLLA CABEZONA,1310102,011714,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,CEBOLLA LARGA,1310101,011714,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,CURUBAS,1410504,011609,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,FRÍJOL FRESCO,1320101,011716,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,FRÍJOL SECO,1320102,011716,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,FRÍJOL TARRO,1320401,011703,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,GARBANZO,1320302,011702,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,GUAYABAS,1410501,011609,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,HABICHUELAS FRESCAS,1310501,011716,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,HUEVOS,1710101,011405,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,LECHE EN POLVO ENTERA,1720103,011401,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,LECHE EN POLVO LACTANTE,1720104,011401,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,LECHE LARGA VIDA,1720102,011401,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,LECHE PASTEURIZADA,1720101,011401,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,LECHUGA,1310504,011716,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,LENTEJAS,1320301,011702,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,LIMONES,1410502,011609,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,LULOS,1410509,011609,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,MANTECA VEGETAL,1730202,011505,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,MANZANAS,1410508,011609,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,MARACUYA,1410506,011609,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,MORAS,1410401,011608,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,NARANJAS,1410101,011605,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PAN CORRIENTE,1120101,011108,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PAN FRANCÉS,1120102,011108,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PAN INTEGRAL,1120103,011108,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PAPA,1210101,011705,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PAPA CRIOLLA,1210102,011705,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PAPAYAS,1410505,011609,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PASTA PARA SECO,1110301,011102,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PASTA PARA SOPA,1110302,011102,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PESCADO DE MAR,1610101,011303,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PESCADO DE RÍO,1610102,011303,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PESCADO ENLATADO,1610103,011303,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PIÑAS,1410507,011609,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,PLÁTANO,1220101,011704,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,POLLO DESPRESADO POR LIBRA,1510302,011203,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,POLLO ENTERO POR LIBRA,1510301,011203,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,QUESO CAMPESINO,1720201,011402,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,REPOLLO,1310503,011716,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,TOMATE,1310201,011713,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,TOMATE DE ÁRBOL,1410301,011607,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,VISCERAS - HIGADO,1510103,011201,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,YUCA,1210201,011706,gasto_basico,2025-06-01,NA
BOGOTÁ D.C.,ZANAHORIA,1310301,011715,gasto_basico,2025-06-01,NA
CALI,ACEITE DE GIRASOL,1730102,011501,gasto_basico,2025-06-01,NA
CALI,ACEITE DE SOYA O DE MAÍZ,1730101,011501,gasto_basico,2025-06-01,NA
CALI,AGUACATE,1410503,011609,gasto_basico,2025-06-01,NA
CALI,AHUYAMA,1310507,011716,gasto_basico,2025-06-01,NA
CALI,AJO,1310505,011716,gasto_basico,2025-06-01,NA
CALI,ARRACACHA,1210303,011712,gasto_basico,2025-06-01,NA
CALI,ARROZ INTEGRAL,1110103,011101,gasto_basico,2025-06-01,NA
CALI,ARROZ PARA SECO,1110101,011101,gasto_basico,2025-06-01,NA
CALI,ARVEJA FRESCA,1320201,011716,gasto_basico,2025-06-01,NA
CALI,ARVEJA SECA,1320202,011716,gasto_basico,2025-06-01,NA
CALI,ARVEJA TARRO,1320402,011703,gasto_basico,2025-06-01,NA
CALI,AVENA HOJUELAS,1110501,011103,producto,2025-06-01,NA
CALI,AVENA MOLIDA,1110502,011103,producto,2025-06-01,NA
CALI,AZÚCAR NATURAL O MORENA,1810202,011801,gasto_basico,2025-06-01,NA
CALI,AZÚCAR REFINADA,1810201,011801,gasto_basico,2025-06-01,NA
CALI,BANANOS,1410201,011606,gasto_basico,2025-06-01,NA
CALI,CARNE DE CERDO CON HUESO,1510202,011202,gasto_basico,2025-06-01,NA
CALI,CARNE DE CERDO SIN HUESO,1510201,011202,gasto_basico,2025-06-01,NA
CALI,CARNE DE RES CON HUESO,1510102,011201,gasto_basico,2025-06-01,NA
CALI,CARNE DE RES SIN HUESO,1510101,011201,gasto_basico,2025-06-01,NA
CALI,CEBOLLA CABEZONA,1310102,011714,gasto_basico,2025-06-01,NA
CALI,CEBOLLA LARGA,1310101,011714,gasto_basico,2025-06-01,NA
CALI,CURUBAS,1410504,011609,gasto_basico,2025-06-01,NA
CALI,FRÍJOL FRESCO,1320101,011716,gasto_basico,2025-06-01,NA
CALI,FRÍJOL SECO,1320102,011716,gasto_basico,2025-06-01,NA
CALI,FRÍJOL TARRO,1320401,011703,gasto_basico,2025-06-01,NA
